Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A833775,*97 G,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 day,Siamese Mix,Lynx Point
A833780,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,Gray/White
A833781,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,Gray/White
A833778,,5/5/2021 13:08,5/5/2021 13:08,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833766,,5/5/2021 12:17,5/5/2021 12:17,1506 Treadwell St in Austin (TX),Stray,Injured,Cat,Neutered Male,6 years,Domestic Shorthair,Orange Tabby
A685630,Tonka,5/5/2021 11:09,5/5/2021 11:09,1308 Old Cedar Lane in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Great Pyrenees,White/Buff
A833759,Cowboy,5/5/2021 10:30,5/5/2021 10:30,14008 Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Chihuahua Shorthair,Black/Tan
A833749,,5/5/2021 8:08,5/5/2021 8:08,8233 Industry Way in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Blue
A833747,,5/5/2021 7:59,5/5/2021 7:59,Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby/White
A833739,,5/4/2021 22:42,5/4/2021 22:42,1515 Wickersham Ln in Austin (TX),Public Assist,Normal,Dog,Intact Male,11 months,Pit Bull,Red/White
A833736,Cookie,5/4/2021 19:32,5/4/2021 19:32,5520 Pine in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever,Tan/Brown
A833735,,5/4/2021 18:10,5/4/2021 18:10,6006 Bluebell Cir in Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Calico
A833730,Carmelo,5/4/2021 17:13,5/4/2021 17:13,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull,Red
A833733,,5/4/2021 17:12,5/4/2021 17:12,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black/Tan
A833734,,5/4/2021 17:12,5/4/2021 17:12,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black/Tan
A833732,,5/4/2021 17:12,5/4/2021 17:12,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black
A833729,,5/4/2021 16:55,5/4/2021 16:55,East Riverside Drive in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White
A833678,,5/4/2021 16:20,5/4/2021 16:20,5811 Duval in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Torbie
A833722,,5/4/2021 16:07,5/4/2021 16:07,1044 Camino La Costa in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Rat Terrier,White/Black
A833723,,5/4/2021 15:20,5/4/2021 15:20,3809 South Congress Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Orange Tabby
A833715,,5/4/2021 15:17,5/4/2021 15:17,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A833712,,5/4/2021 15:17,5/4/2021 15:17,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A833714,,5/4/2021 15:17,5/4/2021 15:17,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Buff/White
A833713,,5/4/2021 15:17,5/4/2021 15:17,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A833711,,5/4/2021 15:09,5/4/2021 15:09,14709 Geneva in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Labrador Retriever/Catahoula,Black/Brown Merle
A833705,Princess Leia,5/4/2021 14:23,5/4/2021 14:23,124 W Anderson Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,11 years,Domestic Shorthair,Calico/Gray
A807217,Taylor Marie,5/4/2021 12:59,5/4/2021 12:59,Manor Road And Chicon Street in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Labrador Retriever Mix,Brown
A833697,,5/4/2021 12:50,5/4/2021 12:50,1707 Mckinley Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Brown Tabby
A833700,Frostie,5/4/2021 12:43,5/4/2021 12:43,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A833702,Tigerette,5/4/2021 12:43,5/4/2021 12:43,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A833701,Buckee,5/4/2021 12:43,5/4/2021 12:43,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A833693,,5/4/2021 12:24,5/4/2021 12:24,3110 Dancy St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Beagle Mix,Brown
A833696,,5/4/2021 12:24,5/4/2021 12:24,3110 Dancy St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier Mix,Red
A833694,,5/4/2021 12:19,5/4/2021 12:19,9003 Little Walnut Parkway in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Labrador Retriever Mix,Buff/White
A833692,Sissy,5/4/2021 11:52,5/4/2021 11:52,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Shorthair,Black/White
A833690,,5/4/2021 11:42,5/4/2021 11:42,1709 East Highway 71 in Austin (TX),Stray,Sick,Dog,Intact Female,5 months,Dachshund Mix,Black/White
A833677,,5/4/2021 10:01,5/4/2021 10:01,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 month,Boxer Mix,Brown/Tricolor
A801948,Boie,5/4/2021 9:45,5/4/2021 9:45,6600 Ed Bluestein in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Plott Hound Mix,Brown Brindle/White
A833674,,5/4/2021 9:20,5/4/2021 9:20,5013 Allyson Ct in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair,Black
A833663,,5/3/2021 21:21,5/3/2021 21:21,411 East 6Th Street in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown
A833025,Monty,5/3/2021 17:57,5/3/2021 17:57,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Great Pyrenees,White
A833656,Rocky,5/3/2021 17:33,5/3/2021 17:33,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,Schnauzer Giant Mix,Black
A833657,Bella,5/3/2021 17:33,5/3/2021 17:33,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 months,Dachshund Mix,Buff
A833655,,5/3/2021 17:07,5/3/2021 17:07,14918 Talus Road in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Cardigan Welsh Corgi Mix,White/Brown
A832376,Bud,5/3/2021 16:25,5/3/2021 16:25,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,11 months,Anatol Shepherd/Labrador Retriever,Brown/White
A833646,,5/3/2021 15:59,5/3/2021 15:59,4900 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer,White/Brown
A833647,,5/3/2021 15:59,5/3/2021 15:59,4900 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Pit Bull,Black/Brown
A833650,,5/3/2021 15:46,5/3/2021 15:46,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A833651,,5/3/2021 15:46,5/3/2021 15:46,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Siamese Mix,Lynx Point
A833649,*Jolie,5/3/2021 15:46,5/3/2021 15:46,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie
A833648,Julia,5/3/2021 15:39,5/3/2021 15:39,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull,Red/Black
A833645,,5/3/2021 15:27,5/3/2021 15:27,16705 Fagerquist in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Black
A833643,,5/3/2021 15:17,5/3/2021 15:17,7104 Grove Crest Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Border Collie Mix,Black/White
A833644,,5/3/2021 15:17,5/3/2021 15:17,7104 Grove Crest Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Border Collie Mix,Chocolate/White
A833634,,5/3/2021 14:54,5/3/2021 14:54,7711 Shoal Creek Boulevard in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Medium Hair,Orange Tabby
A833642,Rey,5/3/2021 14:44,5/3/2021 14:44,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Australian Cattle Dog,Tricolor
A833629,Sinjun,5/3/2021 13:19,5/3/2021 13:19,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Labrador Retriever,Black
A833610,*Button,5/3/2021 12:50,5/3/2021 12:50,1819 Rutland Drive in Austin (TX),Stray,Injured,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue Tabby/White
A833628,Nena,5/3/2021 12:43,5/3/2021 12:43,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Great Pyrenees Mix,Brown/Tricolor
A833621,*Sunny,5/3/2021 12:39,5/3/2021 12:39,1257 S Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A833622,,5/3/2021 12:39,5/3/2021 12:39,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A833624,,5/3/2021 12:39,5/3/2021 12:39,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair,Black
A833623,,5/3/2021 12:39,5/3/2021 12:39,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A833626,,5/3/2021 12:39,5/3/2021 12:39,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue
A833625,,5/3/2021 12:39,5/3/2021 12:39,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Black
A833056,Piccolo,5/3/2021 12:30,5/3/2021 12:30,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 months,Labrador Retriever Mix,Brown/White
A833620,,5/3/2021 12:22,5/3/2021 12:22,8303 Bluff Springs in Austin (TX),Stray,Sick,Cat,Intact Male,3 weeks,Domestic Longhair Mix,Black
A833619,*Minnie,5/3/2021 12:21,5/3/2021 12:21,1803 Belford Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,White/Calico
A833579,,5/3/2021 11:44,5/3/2021 11:44,7417 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Chihuahua Shorthair,White
A833590,,5/3/2021 11:43,5/3/2021 11:43,9422 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,13 years,Chihuahua Longhair,White/Brown
A833598,,5/3/2021 11:42,5/3/2021 11:42,3410 West Avenue in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet,White/Blue
A833601,Ranger,5/3/2021 11:41,5/3/2021 11:41,1156 Cesar Chavez in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Rottweiler Mix,Black/Tan
A833613,,5/3/2021 11:40,5/3/2021 11:40,12009 Barker Hills in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown
A833609,,5/3/2021 10:51,5/3/2021 10:51,6002 Carnation Terrace in Austin (TX),Stray,Nursing,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby
A833608,Black Jack,5/3/2021 10:46,5/3/2021 10:46,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,Black/Brown
A833605,Maggie,5/3/2021 10:46,5/3/2021 10:46,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Shih Tzu/Yorkshire Terrier,Black/White
A832788,*Bruno,5/3/2021 10:39,5/3/2021 10:39,Lakeway (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Dutch Shepherd Mix,Brown Brindle/White
A833596,,5/3/2021 9:30,5/3/2021 9:30,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White
A833597,,5/3/2021 9:30,5/3/2021 9:30,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White
A833595,,5/3/2021 9:30,5/3/2021 9:30,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby
A833588,,5/3/2021 9:03,5/3/2021 9:03,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,White/Black
A833586,,5/3/2021 9:03,5/3/2021 9:03,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,Black/White
A833589,,5/3/2021 9:03,5/3/2021 9:03,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,White/Black
A833587,,5/3/2021 9:02,5/3/2021 9:02,4434 Frontier Trail in Austin (TX),Stray,Injured,Cat,Intact Male,3 years,Domestic Shorthair,Brown Tabby/White
A721496,New York,5/3/2021 8:39,5/3/2021 8:39,3101 Centrum Drive in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Pit Bull Mix,Brown
A765548,Zoey,5/3/2021 8:39,5/3/2021 8:39,3101 Centrum Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Brown Brindle
A833578,Evie,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,3 years,Domestic Shorthair,Cream Tabby/White
A833583,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 weeks,Siamese,Lynx Point
A833592,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Orange Tabby/White
A833584,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,2 weeks,Siamese,Lynx Point
A833582,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie
A833581,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby/White
A833585,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Lynx Point
A833580,,5/3/2021 8:33,5/3/2021 8:33,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby/White
A833576,,5/3/2021 8:12,5/3/2021 8:12,North Lamar And Rutland in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull/Boxer,Tan/White
A833565,,5/2/2021 23:12,5/2/2021 23:12,500 East Cesar Chavez in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A833564,Spot Juarez,5/2/2021 22:10,5/2/2021 22:10,2950 Caldwell in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull,White/Black
A833563,,5/2/2021 20:41,5/2/2021 20:41,1113 Woodland Avenue in Austin (TX),Stray,Sick,Cat,Unknown,2 years,Domestic Shorthair,Tan
A833556,,5/2/2021 17:43,5/2/2021 17:43,1611 Ohlen in Austin (TX),Stray,Sick,Cat,Intact Female,2 weeks,Domestic Medium Hair,Brown Tabby
A833557,,5/2/2021 17:43,5/2/2021 17:43,1611 Ohlen in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Medium Hair,Brown Tabby
A833558,,5/2/2021 17:43,5/2/2021 17:43,1611 Ohlen in Austin (TX),Stray,Sick,Cat,Unknown,4 weeks,Domestic Medium Hair,Gray
A833554,,5/2/2021 16:43,5/2/2021 16:43,7001 South Congress Avenue in Austin (TX),Stray,Sick,Dog,Intact Female,1 month,Chihuahua Shorthair,Tricolor
A822819,Winky,5/2/2021 16:18,5/2/2021 16:18,7313 Colony Park Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Black/White
A833552,Ming,5/2/2021 15:06,5/2/2021 15:06,4141 South Congress Avenue in Austin (TX),Stray,Injured,Cat,Neutered Male,8 years,Domestic Longhair,Cream
A833550,Charlie,5/2/2021 15:05,5/2/2021 15:05,2312 Patsy Parkway in Austin (TX),Stray,Injured,Dog,Spayed Female,2 years,American Pit Bull Terrier,Tan/White
A833551,,5/2/2021 13:31,5/2/2021 13:31,Tillery And Goodwin in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair,Tan
A832899,*Superman - Event,5/2/2021 13:25,5/2/2021 13:25,Outside Jurisdiction,Owner Surrender,Sick,Dog,Neutered Male,2 months,Siberian Husky/German Shepherd,Tan/White
A709380,Chopper,5/2/2021 13:16,5/2/2021 13:16,7601 Daffan Lane in Travis (TX),Stray,Injured,Dog,Neutered Male,12 years,Pug,Fawn
A833548,,5/2/2021 10:38,5/2/2021 10:38,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Female,4 years,Pit Bull Mix,Red/White
A833547,Selena,5/2/2021 10:20,5/2/2021 10:20,13517 Lipton Loop in Austin (TX),Stray,Injured,Dog,Intact Female,1 year,Labrador Retriever Mix,Black
A833544,,5/2/2021 7:31,5/2/2021 7:31,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby
A833542,,5/2/2021 7:31,5/2/2021 7:31,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby
A833543,,5/2/2021 7:31,5/2/2021 7:31,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby
A833546,,5/2/2021 7:31,5/2/2021 7:31,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby
A833545,,5/2/2021 7:31,5/2/2021 7:31,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby
A833537,Cooper,5/1/2021 22:44,5/1/2021 22:44,18304 North Park Road in Leander (TX),Stray,Normal,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
A833530,Stormy,5/1/2021 15:46,5/1/2021 15:46,4708 Avenue H in Austin (TX),Public Assist,Normal,Other,Intact Female,1 year,Rabbit Sh,Black
A833531,Teddy,5/1/2021 15:41,5/1/2021 15:41,1101 Gatehouse Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Shih Tzu,Brown/White
A833527,,5/1/2021 15:36,5/1/2021 15:36,11929 Caithness Way in Travis (TX),Wildlife,Injured,Other,Intact Female,1 year,Turtle,Black/Green
A833525,,5/1/2021 15:06,5/1/2021 15:06,5514 Ponciana Drive in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever,Brown/White
A833519,,5/1/2021 15:06,5/1/2021 15:06,7000 Kellam Road in Travis (TX),Public Assist,Normal,Dog,Intact Male,5 months,Labrador Retriever,Black/Brown
A833526,Ivy,5/1/2021 14:08,5/1/2021 14:08,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull,Blue/White
A833523,,5/1/2021 13:15,5/1/2021 13:15,Pearce Lane And Linden Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Red
A833517,,5/1/2021 13:06,5/1/2021 13:06,1215 West Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Border Collie Mix,White/Brown
A833522,Frankie,5/1/2021 13:05,5/1/2021 13:05,Highway 183 And Montopolis in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Boston Terrier,Black/White
A830115,*Bruce Wayne,5/1/2021 12:50,5/1/2021 12:50,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A833521,,5/1/2021 12:35,5/1/2021 12:35,7902 Canoga Avenue in Austin (TX),Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Black/White
A797993,Cash,5/1/2021 12:21,5/1/2021 12:21,5717 South Ih 35 in Austin (TX),Stray,Injured,Dog,Neutered Male,2 years,Pit Bull Mix,Tan
A833518,,5/1/2021 12:19,5/1/2021 12:19,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd,Brown/Black
A833513,,5/1/2021 8:16,5/1/2021 8:16,William Cannon Drive And Westgate Boulevard in Austin (TX),Stray,Injured,Cat,Neutered Male,6 years,Domestic Shorthair,Brown Tabby
A833512,,5/1/2021 8:10,5/1/2021 8:10,11511 Metric Boulevard in Austin (TX),Stray,Sick,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White
A833511,,5/1/2021 8:01,5/1/2021 8:01,Tisdale Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Calico
A833505,,4/30/2021 21:00,4/30/2021 21:00,11700 Diona Lane in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown
A833190,Comotu,4/30/2021 16:36,4/30/2021 16:36,Austin (TX),Public Assist,Normal,Dog,Intact Male,9 months,German Shepherd,Black
A833496,Avery,4/30/2021 16:33,4/30/2021 16:33,780 South 183 Highway in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,Brown Brindle/White
A833493,*Caleb,4/30/2021 16:20,4/30/2021 16:20,3302 Caleb Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever,Black
A833494,*Riker,4/30/2021 16:18,4/30/2021 16:18,Putnam Drive And Joy Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Fawn/Black
A833487,,4/30/2021 16:10,4/30/2021 16:10,1304 Dale Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Gray/White
A833490,*Caesar,4/30/2021 15:38,4/30/2021 15:38,16101 White River Boulevard in Pflugerville (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black
A833463,,4/30/2021 15:31,4/30/2021 15:31,11215 Ih 35 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A833482,,4/30/2021 15:31,4/30/2021 15:31,7000 Apperson Street in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,American Pit Bull Terrier,Brown Tiger/White
A833478,Bingo,4/30/2021 15:31,4/30/2021 15:31,700 Burleson Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Toy Fox Terrier,White/Black
A833486,,4/30/2021 15:15,4/30/2021 15:15,Dove Springs Drive And East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Boxer Mix,Brown/White
